route_key,final_seatcount
2025-02-22_45_42,1755.1519224390954
2025-01-05_35_46,4520.258376292577
2025-01-16_26_46,2259.138684065992
2025-02-09_13_23,3116.6896343521917
2025-01-24_39_45,1342.4840755839791
2025-01-13_36_27,1025.9124754562322
2025-02-09_45_47,5133.0882147176735
2025-01-21_26_46,1848.5692757244356
2025-02-08_45_05,1665.807186533177
2025-02-03_35_46,3387.2323324524477
2025-01-03_19_02,2684.7340104821988
2025-02-06_36_12,1606.3450651728442
2025-02-04_37_36,1871.7011361960663
2025-01-28_45_44,944.7725850412152
2025-02-18_46_15,1036.793163975559
2025-02-10_45_46,4593.547553732439
2025-01-13_02_21,1205.724846068582
2025-02-23_02_30,3420.105902096222
2025-02-22_09_45,2816.116489758357
2025-02-12_30_14,1443.803670909565
2025-02-27_41_36,1932.5276318614865
2025-01-05_45_47,5265.144334327835
2025-02-18_46_26,1412.3022620475238
2025-01-11_36_22,1334.0986580386389
2025-02-12_02_01,1279.5845086857207
2025-02-13_17_23,1030.0488078940907
2025-02-08_09_45,3343.9981068028374
2025-02-17_45_05,1493.4253245386312
2025-01-03_36_27,1293.7883536965878
2025-02-14_37_36,2210.646289664195
2025-01-15_12_36,1626.468250643244
2025-01-26_02_01,1189.138320526279
2025-01-26_02_14,1230.354339835215
2025-02-05_36_12,1366.7037027683423
2025-01-24_02_21,1485.5031014316291
2025-01-18_44_45,2010.4000815088575
2025-02-27_47_10,1185.6677406430254
2025-01-14_03_47,1790.3087352834837
2025-02-22_06_47,1436.439878127702
2025-01-10_44_46,2656.2193613992895
2025-01-30_03_47,1707.6950412091749
2025-02-25_15_46,1260.6712017704476
2025-02-13_19_32,2576.0254934914246
2025-02-04_47_46,1637.7708274111067
2025-01-04_47_06,1724.7285180262522
2025-02-06_01_02,1055.1214348847043
2025-01-25_28_45,1812.8462863847626
2025-02-22_47_03,1697.991599027114
2025-02-05_36_22,1056.4988665851704
2025-02-11_02_14,1164.3916463069088
2025-01-05_43_47,2651.230715331193
2025-02-04_25_23,1218.9731709530065
2025-01-07_41_36,2452.3774604022906
2025-02-12_46_18,1480.7181797433761
2025-02-20_47_05,3002.514374618306
2025-02-14_35_46,1735.7301985863814
2025-01-03_45_46,4433.7771854650455
2025-01-17_47_03,1800.8853779509234
2025-02-23_03_47,2697.1862914542057
2025-01-20_09_46,6164.021033069389
2025-01-13_46_44,4596.334858112672
2025-02-13_28_45,1625.6278676010818
2025-02-05_47_46,1476.67084688905
2025-01-18_45_09,3069.9478052336763
2025-02-24_36_27,1358.3252266189213
2025-01-28_13_23,1871.9825948438054
2025-02-01_23_13,2524.6611538567286
2025-01-03_28_45,1328.6540279585395
2025-02-06_46_18,1958.9142413686288
2025-01-05_45_28,2177.1935415231856
2025-01-31_46_26,2143.691199937522
2025-01-18_46_15,1742.62799373418
2025-02-18_28_47,2586.2226277080717
2025-02-12_12_36,1836.5472302817743
2025-01-30_38_36,1044.5678598571265
2025-01-20_46_48,3582.1623942491774
2025-02-07_39_45,1157.5226242069134
2025-02-20_46_26,1630.5262267275134
2025-01-15_02_19,2066.1016473412983
2025-02-06_42_45,1245.4441406058777
2025-01-02_48_45,2658.1228379668137
2025-01-19_03_47,3853.5835880131826
2025-01-21_47_30,1435.2964431501096
2025-01-17_30_02,2126.524551881132
2025-02-19_21_02,1120.1006360265078
2025-01-08_45_47,4421.806417292952
2025-01-11_47_46,3072.9961694062063
2025-01-22_46_47,1570.6963378444802
2025-01-22_18_46,1650.8697622360812
2025-02-28_18_46,1772.6215399741216
2025-01-17_17_23,1125.2448418223787
2025-02-11_26_46,1524.6635884383877
2025-02-02_02_40,3102.250845979496
2025-01-11_47_30,2337.8987539170125
2025-02-12_47_06,1225.4520763515884
2025-01-03_35_46,1814.3686825363984
2025-02-10_15_46,2087.696015213914
2025-02-07_36_27,1590.8354253235505
2025-02-01_46_20,1959.2007678633881
2025-01-12_46_20,2409.3388064783867
2025-02-21_21_02,1248.5226886683963
2025-02-18_47_06,1121.7657580892203
2025-02-13_45_05,2223.1957465189466
2025-02-17_46_45,4439.96873041298
2025-01-03_13_23,1988.2575245059666
2025-02-05_48_45,1317.2969819879804
2025-01-07_47_05,3561.1222580363547
2025-02-05_02_21,1257.8696582891557
2025-01-07_44_46,1553.9717962175814
2025-02-26_14_30,1584.8933812958167
2025-02-10_45_42,1504.1014388023132
2025-02-02_46_44,3704.5988992169596
2025-02-17_38_36,1769.7346816909285
2025-02-16_46_09,5611.535552133331
2025-02-21_32_19,2002.3588031211334
2025-02-15_47_43,2871.643145777919
2025-02-26_34_45,1521.1840719254026
2025-01-28_47_28,1321.4969054712
2025-01-21_45_46,3475.680915987756
2025-02-16_30_14,1491.415141877685
2025-02-24_03_45,1819.94440472928
2025-02-04_12_36,1809.6666407254613
2025-01-20_43_47,4682.8251325525935
2025-02-04_48_45,1675.0995553188382
2025-01-22_27_36,1332.399109458826
2025-02-03_47_06,1040.899152210343
2025-01-23_46_09,4267.027050126675
2025-02-14_03_45,1431.8515463507374
2025-02-15_36_12,1995.6814116493972
2025-02-03_41_36,3012.320064063806
2025-01-12_13_23,2867.2034608788904
2025-02-05_02_16,1331.7308705135183
2025-02-07_05_45,1705.725092579979
2025-02-17_36_11,2603.2583281304505
2025-01-15_46_15,1480.656559755751
2025-02-02_33_46,3422.6419572159766
2025-02-07_47_02,2243.517145662357
2025-02-04_48_46,3327.738153190622
2025-01-06_47_02,1710.4583294289637
2025-01-01_07_36,2567.9824805258777
2025-01-20_36_41,3336.065837941276
2025-02-15_03_47,1519.523956042288
2025-01-22_03_47,1482.3281534604253
2025-01-13_36_37,1265.066088766277
2025-02-18_32_19,1624.4277897049938
2025-01-23_02_19,2104.790574668748
2025-01-15_47_46,1749.0063550793282
2025-02-26_05_45,1413.425738705203
2025-01-18_45_34,1489.5388323328873
2025-01-21_21_02,1100.8136697028754
2025-01-14_21_02,986.3917835310726
2025-02-04_46_47,1368.4480896144214
2025-02-22_41_36,3226.4683243297195
2025-02-25_46_44,2744.1898732068667
2025-01-03_41_36,4612.74067745385
2025-01-13_07_36,1509.9396336034986
2025-01-25_47_08,1361.9895306703538
2025-02-23_47_08,1551.9278142862804
2025-02-07_47_08,1890.4434942466803
2025-02-09_46_09,5707.305258212198
2025-01-25_47_06,1442.3352712477845
2025-01-28_46_33,778.6847129730447
2025-01-19_46_47,2508.9631331325054
2025-02-18_19_02,1651.3856072087367
2025-02-14_46_45,4786.880874041539
2025-01-13_15_46,1513.4279430505158
2025-02-01_48_46,5379.590339557868
2025-02-19_47_28,2191.9893153239595
2025-01-10_09_45,3922.8375918723987
2025-02-11_46_26,1589.429967717983
2025-01-18_02_14,1514.1469306788235
2025-01-31_22_36,1793.6871134984528
2025-01-07_45_46,3198.283651763775
2025-01-02_46_48,4409.799933561635
2025-01-15_21_02,995.0027166388414
2025-02-28_02_14,1860.048751346868
2025-01-11_47_03,4735.543092764337
2025-02-28_02_21,1622.0259152092315
2025-02-01_34_45,1643.0941820033283
2025-01-07_09_45,2866.0924697915525
2025-02-19_03_45,1334.0870737815444
2025-01-13_05_45,1828.406347874934
2025-02-10_02_24,1050.9816545756785
2025-01-21_45_03,1175.6674420864585
2025-01-08_46_44,2784.1535928301355
2025-02-20_03_47,1396.2665665496656
2025-02-16_34_45,3404.943485533514
2025-02-14_20_46,1427.5824930787005
2025-02-02_45_34,1432.795954044947
2025-02-13_47_46,1941.3965135107662
2025-01-14_45_03,1430.596003697483
2025-01-23_09_46,3967.149815793495
2025-02-14_02_24,1600.100401470016
2025-02-10_02_47,1722.0402745676197
2025-02-04_46_35,1462.3705047494352
2025-02-24_01_02,1331.177245014306
2025-02-17_17_23,1761.498606737663
2025-02-15_09_46,4400.1285654123785
2025-02-16_23_13,1967.9223345477074
2025-01-28_37_36,203.32358563149523
2025-02-19_15_46,1056.0201726176551
2025-01-05_39_45,2939.8671946942964
2025-01-01_02_31,2369.067200922425
2025-02-04_47_05,2034.1105034931018
2025-01-22_45_05,1469.9142746298546
2025-02-16_19_30,2218.3187488242993
2025-02-11_46_47,1428.1776593489121
2025-01-16_28_47,2390.7294760351338
2025-01-25_19_30,1770.0972892627162
2025-02-21_19_32,2482.3842853072197
2025-01-26_46_47,1948.6507657595196
2025-01-05_30_14,1436.6479147903224
2025-01-30_26_46,1771.0344864180506
2025-02-13_45_47,4996.780827358416
2025-01-21_43_47,3580.401732481453
2025-02-12_47_02,1419.4765380786691
2025-01-21_47_45,3412.741904772436
2025-01-11_45_44,2246.6119714001125
2025-01-17_30_14,1842.0250368019342
2025-01-02_46_33,1976.8919463482634
2025-01-08_47_02,1362.0272642805496
2025-01-14_36_11,1354.7684699523857
2025-02-22_46_09,4491.259325422874
2025-02-05_36_27,1639.1966552686888
2025-01-17_01_02,1222.0742715678457
2025-02-27_17_23,1219.7912272366382
2025-02-26_45_03,1259.6120172944998
2025-02-27_26_46,1568.573256305055
2025-02-18_04_29,1136.5996958537355
2025-02-11_36_37,4421.701754160673
2025-01-06_12_36,2114.007824515009
2025-01-20_01_02,1393.3736553786157
2025-02-16_46_48,3979.8690392746407
2025-01-23_45_47,4151.595781607667
2025-01-27_02_01,1137.5168335538156
2025-02-12_08_47,1171.5468430976348
2025-01-11_02_01,1354.335801049432
2025-01-14_45_46,3133.8265662586955
2025-01-09_16_02,1252.5125681833556
2025-01-21_02_01,1141.9634730134069
2025-01-16_33_46,2977.8056962664205
2025-02-05_44_46,1648.7715411355848
2025-01-12_23_25,1525.213878713427
2025-02-09_09_45,5118.349002086647
2025-01-02_13_23,2208.278281135054
2025-01-03_46_18,1972.539573172433
2025-02-14_36_27,1758.6676745061486
2025-01-09_46_35,4287.900837932534
2025-01-08_25_23,1351.3000282524617
2025-01-30_16_02,1166.1931516150034
2025-01-07_02_47,1636.4044877602107
2025-01-04_45_05,2112.0473123500296
2025-01-03_47_30,2020.1964698536992
2025-01-17_40_02,2160.5393116691043
2025-02-23_36_27,1494.3305654583758
2025-02-02_02_01,1537.512657643585
2025-02-10_48_46,5967.039363375512
2025-01-10_46_18,4001.071716486555
2025-02-26_16_02,1202.7737230738271
2025-01-19_46_15,1515.3614090105127
2025-02-24_35_46,3006.3865661875207
2025-02-19_45_28,2015.5694082961252
2025-02-05_02_47,1871.60938790041
2025-01-31_08_47,1261.9568881760379
2025-02-04_05_45,1628.9085484325055
2025-01-02_47_46,2010.260036377706
2025-02-17_30_14,1591.6982788047626
2025-01-12_28_45,2761.59549085722
2025-01-11_11_36,1807.4483515710715
2025-01-25_45_48,1939.225704524019
2025-02-21_45_47,5665.661614264385
2025-01-19_08_47,3671.062576197407
2025-02-16_28_45,3678.5316922389875
2025-01-30_30_14,1373.893372246232
2025-01-19_44_46,6804.84629958579
2025-02-14_36_12,2233.878755588128
2025-02-11_39_45,1336.166848451528
2025-02-15_45_28,2869.121377084151
2025-01-08_04_29,1006.5013034813154
2025-01-10_45_39,3198.981742792521
2025-01-22_02_21,1281.4107822845135
2025-02-07_36_11,3937.4911316301523
2025-02-09_20_46,2358.811253848199
2025-02-07_45_47,5240.250280873938
2025-01-12_47_03,3299.098144324974
2025-02-23_02_14,1529.100554858511
2025-01-15_33_46,3117.8462003565273
2025-02-25_02_47,1773.1440865324353
2025-01-08_06_47,1174.8350471907456
2025-01-17_45_48,2565.2106447902984
2025-01-10_46_48,9927.11556539136
2025-02-12_23_25,1889.5566864023053
2025-02-03_36_22,1231.90142333125
2025-01-20_13_23,2329.2775846284094
2025-02-19_02_24,1342.1517287403817
2025-01-12_03_45,1985.889319603362
2025-01-04_46_15,1732.2674507778013
2025-02-09_46_26,1994.2478316442034
2025-02-20_46_48,4092.684696738719
2025-01-05_48_46,6786.298599116714
2025-02-08_05_45,1889.7360830267876
2025-02-21_37_36,2127.80227217327
2025-01-13_46_20,2433.848895855624
2025-01-02_31_02,2942.8630005106997
2025-02-04_19_32,1933.8589749620257
2025-01-31_46_35,4090.5158575880005
2025-02-14_43_47,2233.4699316555416
2025-02-28_45_34,2581.291062225636
2025-01-03_25_23,2467.8109765855806
2025-02-02_45_42,1685.154183534044
2025-01-26_48_45,2644.940021315097
2025-02-26_31_02,1817.4360387888976
2025-02-13_21_02,998.1557107367543
2025-01-24_21_02,1141.0168345055981
2025-02-17_39_45,2141.4586195290667
2025-01-12_32_19,2278.4252315793005
2025-01-07_27_36,1211.300791460046
2025-02-14_02_01,1711.4542393787785
2025-02-06_31_02,1389.7081817352578
2025-02-23_36_12,2022.699403029413
2025-02-25_23_25,1614.5702720824795
2025-02-05_46_20,1293.3450195605392
2025-01-30_36_27,1208.0885163692546
2025-02-27_27_36,1579.385702370862
2025-01-15_36_27,1158.2051883013419
2025-02-22_38_36,1850.3141133907686
2025-02-26_25_23,1588.4624307114295
2025-02-10_01_02,1327.825226514156
2025-01-09_47_05,7475.288598070116
2025-02-10_47_06,1077.5269744254506
2025-01-26_25_23,3593.867917276586
2025-01-15_46_26,1861.0446669043301
2025-02-09_11_36,4088.5867849857514
2025-01-16_04_29,976.441163576539
2025-01-07_36_27,963.1469759828058
2025-02-04_02_24,1033.047554766449
2025-02-03_45_44,952.7431192401519
2025-01-07_19_30,1353.9556424123691
2025-01-30_12_36,2175.3528996685686
2025-02-20_46_35,2423.4225858525683
2025-01-19_02_16,1599.6633349641786
2025-02-17_32_19,2382.050320958583
2025-01-08_46_47,1486.0876281703247
2025-01-31_41_36,3144.3086890998266
2025-02-02_46_15,1641.536805046935
2025-01-12_02_16,1776.0586667504642
2025-02-05_04_29,1047.1954124571498
2025-01-12_44_46,3582.972320136666
2025-01-17_03_45,2163.299602270233
2025-02-23_37_36,2928.7546161725822
2025-01-21_25_23,1766.6989558016842
2025-01-09_15_46,947.376821102096
2025-01-01_47_43,2248.3593163828687
2025-01-14_36_12,1292.691666280242
2025-02-13_08_47,1201.4039662591385
2025-01-12_30_02,2512.3949415251263
2025-02-02_31_02,3396.193003166783
2025-01-21_47_05,1959.5322873761718
2025-01-09_48_46,2934.3204114609234
2025-01-03_36_07,2353.32613318211
2025-02-07_47_45,4656.538312017907
2025-01-27_46_35,1331.915252057774
2025-02-22_26_46,1849.4503007290602
2025-01-23_19_32,2172.81324114732
2025-02-18_16_02,1340.1275461215284
2025-02-09_37_36,3951.0396452646883
2025-01-24_28_47,1441.6991299797671
2025-01-05_47_08,1862.4678399769477
2025-02-02_19_32,3283.629494345031
2025-01-28_45_48,1104.4646283992838
2025-01-30_45_44,1416.931788015746
2025-02-12_09_45,2675.738385881568
2025-01-24_20_46,1379.192069475272
2025-01-16_42_45,1148.4913061346995
2025-01-12_36_07,1568.995281826623
2025-02-09_08_47,2280.5551536483426
2025-01-17_47_46,2264.279322884778
2025-01-22_36_37,484.223733374914
2025-01-07_47_43,3964.7074292103
2025-02-05_14_30,1710.5156721062604
2025-01-20_36_11,1774.4943604629457
2025-02-16_41_36,3746.5508715010924
2025-01-22_02_31,1913.0503562988376
2025-01-23_48_45,1318.9829053329152
2025-01-23_02_14,1268.000828404451
2025-01-21_09_45,3521.842212929962
2025-02-28_43_47,2349.7826156756737
2025-02-19_02_19,1817.2132716702342
2025-02-22_44_45,1231.5384376123518
2025-01-04_38_36,1247.5850577746578
2025-02-17_45_46,3737.6366212184066
2025-01-16_39_45,1395.4126814787853
2025-01-04_02_47,1956.0525935962391
2025-01-14_02_30,1410.9434069130327
2025-02-03_09_45,4674.477870858195
2025-01-02_17_23,1428.767670813504
2025-02-21_36_07,2095.8921973484335
2025-01-02_02_16,1537.7325628684337
2025-01-07_40_02,1869.9087470616994
2025-02-06_46_48,5129.2541621764885
2025-02-05_45_03,1413.243283150733
2025-02-10_02_14,1256.6825615199486
2025-02-16_14_30,2574.533217232687
2025-01-16_19_30,1597.092139494718
2025-01-28_03_47,1394.53312534532
2025-02-12_19_02,1760.0212318890322
2025-02-11_27_36,1523.448044955305
2025-02-09_46_20,1746.578035330082
2025-02-10_02_40,2528.0986074904913
2025-02-13_06_47,1368.0816133077813
2025-01-23_42_45,1450.9842661132404
2025-02-24_47_46,2013.615761055172
2025-01-18_28_45,2683.8821489799566
2025-02-04_01_02,1218.8239976838458
2025-02-10_18_46,2588.2537859443864
2025-02-04_09_46,3554.967719363942
2025-02-20_05_45,1415.902759751909
2025-01-11_02_16,1688.1814756309236
2025-01-14_47_03,1427.3597350084187
2025-01-25_47_43,2546.7585558516876
2025-02-24_21_02,1353.5857174134674
2025-02-25_09_45,2910.2107282378242
2025-01-21_28_47,1515.9969362379695
2025-01-12_46_44,5217.737052143422
2025-02-14_42_45,1543.4095844182107
2025-01-29_44_45,1014.1706616705467
2025-02-26_05_47,2002.9303837639297
2025-01-19_26_46,3387.1383094364555
2025-01-20_06_47,3056.2628366007166
2025-01-15_47_30,1520.0544103588036
2025-02-08_36_37,3845.305256825871
2025-01-12_36_11,1847.675584750009
2025-01-13_46_45,3863.1789223389114
2025-01-16_48_45,2390.4947349742715
2025-02-21_47_43,3602.8336218625323
2025-01-14_04_29,875.1155948742626
2025-02-24_47_03,1396.7645837546686
2025-01-20_39_45,2306.1808138314573
2025-02-01_45_39,2117.051166143097
2025-02-15_46_18,2224.2960505306837
2025-01-26_47_30,1938.8246664253206
2025-01-22_17_23,1240.495541040497
2025-02-26_44_46,1239.9409879877226
2025-02-28_48_46,5057.009270990371
2025-01-10_02_14,1852.8560116166789
2025-02-16_47_06,1413.8551012122668
2025-01-18_46_18,2203.647972398574
2025-01-31_06_47,1177.3582310044649
2025-01-14_44_45,1890.3637113339043
2025-01-22_46_20,1254.5915449457207
2025-02-10_05_47,3184.4860348283655
2025-02-24_30_14,1307.5284584019141
2025-01-07_36_07,1274.5636545363477
2025-02-14_13_23,2277.824479347782
2025-01-23_45_44,1110.962477998513
2025-02-08_35_46,1844.3365331353477
2025-02-21_19_02,1965.1877370363934
2025-02-28_45_39,3435.85722602489
2025-01-12_15_46,1934.0110425477708
2025-02-26_47_05,2908.4473628365695
2025-02-10_23_13,1830.0763492275905
2025-02-01_20_46,1656.0306739127273
2025-01-04_01_02,1214.9030877277864
2025-02-13_37_36,2527.9162625328167
2025-01-23_45_42,1889.0563776274932
2025-01-24_02_19,2835.253453001385
2025-01-11_46_20,3201.134033377681
2025-02-18_05_47,2291.9691055392864
2025-01-05_46_20,1491.917741410565
2025-02-03_40_02,2523.802597502978
2025-01-07_02_31,1936.463926882967
2025-01-14_27_36,1118.9533509676294
2025-02-02_40_02,2978.787399408914
2025-02-28_03_47,1335.0871991421927
2025-01-06_03_47,1555.0686093548388
2025-01-30_45_09,3348.4911241241725
2025-01-25_40_02,2471.9385354199626
2025-01-15_23_13,1239.9597235715837
2025-01-19_48_46,9332.313545162691
2025-01-15_01_02,1048.8462461448448
2025-01-24_02_47,2217.7496237280234
2025-02-09_03_45,2227.953167135792
2025-02-07_19_30,1292.0640820868903
2025-02-12_41_36,2873.692747917825
2025-01-29_46_45,2899.9576511374075
2025-02-17_47_08,1128.3070892850478
2025-02-10_47_10,1084.165274030071
2025-01-31_36_22,1293.964956814541
2025-02-04_26_46,1331.1005499490998
2025-01-22_46_15,1274.4912537790717
2025-01-19_05_45,3900.980285744765
2025-02-24_45_03,1246.9146845087685
2025-02-27_45_39,2321.493568033944
2025-01-06_02_40,2161.0736948430776
2025-01-26_02_16,1426.7210036615393
2025-01-19_36_41,2882.608306840538
2025-02-16_02_40,3001.9260520287426
2025-01-01_45_05,1646.0984645492358
2025-01-08_41_36,2988.5752551847986
2025-01-14_47_45,4383.536562449113
2025-01-17_11_36,1681.8984195506805
2025-01-07_46_18,1705.7255022482154
2025-02-14_45_28,4470.501166342858
2025-01-22_39_45,1211.4862946366968
2025-02-12_46_45,3445.827608599533
2025-01-22_14_30,1473.4893159242201
2025-01-22_08_47,1327.7978403526797
2025-02-28_05_47,2487.767101596706
2025-02-27_19_02,1346.6886490523905
2025-01-12_36_22,1506.642891886453
2025-01-18_05_47,6467.540089641262
2025-01-03_30_02,2243.1341542578443
2025-02-21_45_34,3197.5323953111656
2025-01-03_05_45,1856.7142980487315
2025-01-05_36_22,1845.7861239597105
2025-02-21_02_19,2755.5315346505677
2025-01-14_46_20,1775.1752756993617
2025-01-05_13_23,3009.8404689566696
2025-01-22_35_46,1833.2669050519407
2025-02-10_38_36,1595.8426702991342
2025-02-19_45_05,1561.029093788086
2025-01-27_46_09,2848.8956000128856
2025-01-18_09_45,3984.412074338785
2025-02-11_45_42,1473.1130402642173
2025-01-07_46_44,1865.7197090879804
2025-01-16_02_21,1169.6652749066395
2025-01-22_46_18,1617.8673842457374
2025-01-20_47_28,1657.4343318499293
2025-01-07_45_03,2452.3355239637185
2025-01-15_32_19,1701.3010192003512
2025-01-18_16_02,1356.5582339105918
2025-01-13_19_30,1582.9896612356974
2025-02-06_45_44,1405.5372982473973
2025-01-26_36_41,3001.7239532717667
2025-02-17_46_33,936.1065423656414
2025-01-23_08_47,1247.2528757259288
2025-01-04_36_41,4022.930938634403
2025-01-14_09_45,4104.390261198948
2025-01-20_46_20,1297.7964002118367
2025-01-05_34_45,4826.3440776832485
2025-01-21_02_30,1891.3728126672418
2025-02-07_02_30,2991.682678877601
2025-01-09_05_45,1625.3782203149467
2025-01-27_46_45,3957.6340165858064
2025-02-11_36_22,1186.4596737305849
2025-01-30_44_45,1103.8005907613533
2025-01-10_19_32,2449.463881370762
2025-02-23_23_25,1759.6220516316016
2025-02-25_25_23,1894.1835313241727
2025-02-25_47_46,1899.6633001667199
2025-02-09_47_06,1337.6954844796119
2025-01-21_46_20,1189.6811893425825
2025-01-17_02_14,1709.7369539461533
2025-01-22_45_34,1645.8492567147077
2025-01-08_30_02,1435.145938873538
2025-02-18_46_18,1224.9862169134626
2025-01-29_46_47,1393.7128566849274
2025-01-09_02_40,1702.55308603159
2025-01-06_47_30,1664.4526116709405
2025-01-16_02_40,2047.4125481172211
2025-01-04_46_26,1730.852356061716
2025-01-19_46_44,3132.754635098271
2025-02-06_46_47,1620.8486071567695
2025-01-26_21_02,1633.608353978547
2025-01-19_16_02,2225.7449091841086
2025-01-13_09_45,3464.5873648791517
2025-01-04_02_24,1349.376944668626
2025-02-24_45_48,1623.2568714159509
2025-01-22_02_16,1274.5220697524728
2025-02-16_02_14,1655.31954600145
2025-02-15_46_09,4760.080015838214
2025-02-17_02_19,1832.7386424720812
2025-01-13_46_33,2747.945917263381
2025-01-13_27_36,1220.0466386031108
2025-02-25_03_47,1422.4412772332635
2025-02-27_06_47,1156.6548882521377
2025-02-14_09_46,4027.2549458093727
2025-02-15_36_41,2834.2688055685962
2025-01-24_36_12,2584.1758945337756
2025-02-11_20_46,2033.5831542665117
2025-01-18_47_43,2863.4003988287736
2025-01-18_48_45,2473.6495236189403
2025-01-05_36_27,1113.1914025131548
2025-01-17_06_47,2952.726362290725
2025-02-22_05_45,1892.9056098720673
2025-01-30_45_46,4941.902367014715
2025-02-16_46_33,1417.6065004193179
2025-01-18_02_24,1333.1163705015347
2025-02-11_45_48,1262.0230824090647
2025-01-01_45_03,1758.5255620315452
2025-01-28_36_11,1617.6938555615088
2025-02-18_19_30,1830.526849355469
2025-02-06_09_45,2214.186203373289
2025-02-09_26_46,2869.475300996621
2025-02-27_47_43,2342.004621555345
2025-01-22_02_24,1161.7018725455441
2025-01-21_30_02,1827.095339293256
2025-02-24_25_23,1905.2829008445558
2025-01-05_36_11,1957.273776263879
2025-01-27_04_29,1079.5514197870798
2025-02-27_46_18,1809.4878130809693
2025-01-09_45_28,4398.734254107985
2025-01-03_36_37,270.883394807292
2025-01-23_45_48,2097.3757562242936
2025-01-31_47_05,4202.043292533679
2025-02-09_06_47,2263.4972432407635
2025-01-25_47_46,1834.4326229307912
2025-02-02_02_14,1705.279709011853
2025-01-01_48_46,7652.959303188258
2025-02-04_11_36,2110.7376314189305
2025-01-21_36_27,1092.389588107982
2025-02-13_02_40,2402.117074127874
2025-01-21_46_45,3464.041929513435
2025-02-24_43_47,2190.3504884712493
2025-01-25_02_01,1349.889417415755
2025-02-25_48_45,1381.9442223236122
2025-01-26_47_46,1980.8025776782067
2025-01-14_02_16,1109.8084365847683
2025-01-20_19_32,2396.057591072508
2025-02-13_23_25,2043.700323314055
2025-01-20_12_36,1803.7028038901917
2025-01-29_47_43,1732.6795949347515
2025-02-21_47_46,2410.8131135232993
2025-02-03_37_36,3076.5371361150915
2025-02-02_47_43,2365.972696363392
2025-01-04_47_28,2260.235994471797
2025-02-18_36_37,3316.999068268549
2025-02-14_47_45,4671.093282043696
2025-01-08_02_21,1095.7537243865927
2025-02-22_45_46,4016.3374014495707
2025-02-06_30_14,1645.5420939889573
2025-02-16_47_43,2439.085733965202
2025-01-16_23_25,1627.7342124451593
2025-01-27_44_46,2262.640851768484
2025-01-07_05_47,1940.2439716310762
2025-02-14_45_03,2113.4760144646066
2025-01-07_46_20,1310.1231420873278
2025-02-25_27_36,1621.7379744444515
2025-01-31_47_43,2818.902243345154
2025-01-23_34_45,1313.5770810493195
2025-02-15_44_45,1235.315436077367
2025-01-28_02_16,1239.480224836626
2025-01-30_36_12,1746.6436605588408
2025-02-28_46_18,2512.7484557142525
2025-01-21_02_14,1096.1887110144075
2025-01-15_02_01,1136.0991777447975
2025-02-14_08_47,1390.4529532005085
2025-01-25_36_12,2261.927269057202
2025-01-03_15_46,1890.0500654403736
